GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
HidroC_GEN_Candelaria500,Hidro C,Candelaria500,0,5.95,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,14.875,"""Predeterminada""",2022,.
Solar_aggregated_AltoJahuel500,Solar,AltoJahuel500,0,11291.53,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Lagunas220,Solar,Lagunas220,0,36210.16512,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Candelaria500,Solar,Candelaria500,0,11380.68379,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_NuevaCardones500,Solar,NuevaCardones500,0,14036.32966,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Polpaico500,Solar,Polpaico500,0,11188.51973,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Parinas500,Solar,Parinas500,0,45556.26791,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Concepcion500,Solar,Concepcion500,0,20781.17,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Rapel500,Solar,Rapel500,0,41589.65401,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Parinacota220,Solar,Parinacota220,0,38736.71781,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_NuevaPozoAlmonte220,Solar,NuevaPozoAlmonte220,0,40000.0,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_RioMalleco500,Solar,RioMalleco500,0,28610.02617,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_NuevaPandeAzucar500,Solar,NuevaPandeAzucar500,0,26162.47108,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Kimal500,Solar,Kimal500,0,10000.0,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_NuevaCharrua500,Solar,NuevaCharrua500,0,41293.25809,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Quillota500,Solar,Quillota500,0,11276.71791,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_NuevaMaitencillo500,Solar,NuevaMaitencillo500,0,27155.42259,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Ancoa500,Solar,Ancoa500,0,57410.72292,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Mulchen500,Solar,Mulchen500,0,28023.64,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Cumbre500,Solar,Cumbre500,0,54472.25856,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_NuevaZaldivar220,Solar,NuevaZaldivar220,0,23867.74044,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_LosChangos220,Solar,LosChangos220,0,10000.0,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_Kimal220,Solar,Kimal220,0,60211.44408,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Solar_aggregated_LosChangos500,Solar,LosChangos500,0,10000.0,.,0.0,30,.,0,0,1,0,0,Solar,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_AltoJahuel500,Wind,AltoJahuel500,0,6.466667,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_Candelaria500,Wind,Candelaria500,0,184.2,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_Polpaico500,Wind,Polpaico500,0,25.463333,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_Parinas500,Wind,Parinas500,0,9084.494069,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_Concepcion500,Wind,Concepcion500,0,5170.504662,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_Pichirropulli500,Wind,Pichirropulli500,0,4306.089847,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_Rapel500,Wind,Rapel500,0,120.066667,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_NuevaAncud500,Wind,NuevaAncud500,0,11740.44333,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_RioMalleco500,Wind,RioMalleco500,0,4555.328097,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_NuevaPandeAzucar500,Wind,NuevaPandeAzucar500,0,695.847102,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
Wind_aggregated_NuevaCharrua500,Wind,NuevaCharrua500,0,3945.483011,.,0.0,20,.,0,0,1,0,0,Wind,.,.,.,.,.,.,.,0.0,True,2025,.
